"","Volume","Taxon name"
"Diphyscium foliosum","Volume 27","Diphyscium foliosum"
"Diplotaxis muralis","Volume 7","Diplotaxis muralis"
"Distichlis","Volume 25","Distichlis"
"Distichlis spicata","Volume 25","Distichlis spicata"
"Ditrichum lineare","Volume 27","Ditrichum lineare"
"Ditrichum pusillum","Volume 27","Ditrichum pusillum"
"Ditrichum rhynchostegium","Volume 27","Ditrichum rhynchostegium"
"Doellingeria umbellata","Volume 20","Doellingeria umbellata"
"Doellingeria umbellata var. umbellata","Volume 20","Doellingeria umbellata var. umbellata"
"Draba incana","Volume 7","Draba incana"
"Drepanocladus aduncus","Volume 28","Drepanocladus aduncus"
"Drosera intermedia","Volume 6","Drosera intermedia"
"Drosera rotundifolia","Volume 6","Drosera rotundifolia"
"Dryopteris campyloptera","Volume 2","Dryopteris campyloptera"
"Dryopteris carthusiana","Volume 2","Dryopteris carthusiana"
"Dryopteris cristata","Volume 2","Dryopteris cristata"
"Dryopteris intermedia","Volume 2","Dryopteris intermedia"
"Dulichium arundinaceum","Volume 23","Dulichium arundinaceum"
"Dulichium arundinaceum var. arundinaceum","Volume 23","Dulichium arundinaceum var. arundinaceum"
"Dysphania botrys","Volume 4","Dysphania botrys"
"Echinochloa","Volume 25","Echinochloa"
"Echinochloa crus-galli","Volume 25","Echinochloa crus-galli"
"Echinochloa oryzicola","Volume 25","Echinochloa oryzicola"
